"","country","year","GFDD.DM.02","GFDD.DM.01","GFDD.SI.03","GFDD.SI.05","GFDD.EI.10","sh.F99100","sh.F99100_fs1","osh.F99100_fs1","sh.F99100_ps","gdp_per","unions_app","imports"
"120","Germany",1991,26.873,22.1997,NA,NA,NA,0.0341436378133447,0.00109848982905817,0.735150004680015,0.0341436378133447,22303.9613266628,31.2,23.0277510180834
"121","Germany",1992,32.8161,23.6902,NA,NA,NA,0.0308286793333236,0.00114000479301244,0.937264231209293,0.0308286793333236,23357.757725073,36,24.1524782444192
"122","Germany",1993,21.2274,17.1495,NA,NA,NA,0.031486187289287,0.0012877144127711,1.08620253435808,0.031486187289287,26438.2303888417,33.9,22.6961446717507
"123","Germany",1994,22.8499,18.3491,NA,NA,NA,0.0311143798244952,0.00126008788564532,1.04727708258836,0.0311143798244952,25522.6295733618,31.8,20.2632946672835
"124","Germany",1995,26.055,21.6338,NA,NA,NA,0.0325589720168368,0.00129040251688001,1.01350466225109,0.0325589720168368,27076.60675014,30.4,20.9471728020551
"125","Germany",1996,24.4816,22.1202,NA,NA,NA,0.0314811570992443,0.00134195352835193,1.07944738294451,0.0314811570992443,31658.3493789135,29.2,21.5873979341395
"126","Germany",1997,14.1267,24.3131,NA,NA,10.3401,0.0317643856215081,0.00159626857783597,1.24158183525256,0.0317643856215081,30485.8665482279,27.8,22.1455932715028
"127","Germany",1998,25.1176,31.687,NA,NA,9.88353,NA,0.00174420212519985,NA,NA,26964.0494672673,27,24.282385335135
"128","Germany",1999,54.5101,42.5727,4,11.4,25.7236,0.0380656025772441,0.00170883326255674,1.04954568107808,0.0380656025772441,27289.0593603191,25.9,25.1780661431082
"129","Germany",2000,61.7338,56.3228,4.1,11.5,6.03888,0.0400177851553237,0.00182479070784918,1.05043796624346,0.0400177851553237,26725.9152182573,25.3,26.4066172043428
"130","Germany",2001,75.5585,64.207,4.2,11.7,7.37339,0.0388016982302151,0.0020470100200353,1.18546300532517,0.0388016982302151,23635.9292203977,24.6,30.678349430323
"131","Germany",2002,78.9352,59.1272,4.4,12,4.88046,0.0381721541773599,0.00195929332376516,1.12536440304173,0.0381721541773599,23607.8828553922,23.7,30.2181317720272
"132","Germany",2003,53.9586,43.6808,4.1,12.7,-1.49411,0.0351481064866892,0.00202257463192101,1.26450483925251,0.0351481064866892,25077.7290759602,23.5,28.3423107018725
"133","Germany",2004,41.143,37.9,4.2,12.4,-9.5497,0.0360381026438569,0.00192807618195956,1.1562680545983,0.0360381026438569,30243.5765296979,23,29.0376067680426
